cohort,site,variable,n_total,n_missing
primary,Peking_1,participant_sex_male,49,0
primary,Peking_1,label,49,0
primary,Peking_2,participant_age,14,0
primary,Peking_2,mean_fd,14,0
primary,Peking_2,pct_fd_gt_0p2,14,0
primary,Peking_2,mean_dvars,14,0
primary,Peking_2,max_fd,14,0
primary,Peking_2,n_volumes,14,0
primary,Peking_2,total_intracranial_mm3,14,0
primary,Peking_2,participant_sex_male,14,0
primary,Peking_2,label,14,0
primary,Peking_3,participant_age,6,0
primary,Peking_3,mean_fd,6,0
primary,Peking_3,pct_fd_gt_0p2,6,0
primary,Peking_3,mean_dvars,6,0
primary,Peking_3,max_fd,6,0
primary,Peking_3,n_volumes,6,0
primary,Peking_3,total_intracranial_mm3,6,0
primary,Peking_3,participant_sex_male,6,0
primary,Peking_3,label,6,0
warning_free,ALL,participant_age,302,0
warning_free,ALL,mean_fd,302,3
warning_free,ALL,pct_fd_gt_0p2,302,3
warning_free,ALL,mean_dvars,302,3
warning_free,ALL,max_fd,302,3
warning_free,ALL,n_volumes,302,3
warning_free,ALL,total_intracranial_mm3,302,0
warning_free,ALL,participant_sex_male,302,0
warning_free,ALL,label,302,0
warning_free,KKI,participant_age,72,0
warning_free,KKI,mean_fd,72,0
warning_free,KKI,pct_fd_gt_0p2,72,0
warning_free,KKI,mean_dvars,72,0
warning_free,KKI,max_fd,72,0
warning_free,KKI,n_volumes,72,0
warning_free,KKI,total_intracranial_mm3,72,0
warning_free,KKI,participant_sex_male,72,0
warning_free,KKI,label,72,0
warning_free,NYU,participant_age,113,0
warning_free,NYU,mean_fd,113,3
warning_free,NYU,pct_fd_gt_0p2,113,3
warning_free,NYU,mean_dvars,113,3
warning_free,NYU,max_fd,113,3
warning_free,NYU,n_volumes,113,3
warning_free,NYU,total_intracranial_mm3,113,0
warning_free,NYU,participant_sex_male,113,0
warning_free,NYU,label,113,0
warning_free,NeuroIMAGE,participant_age,26,0
warning_free,NeuroIMAGE,mean_fd,26,0
warning_free,NeuroIMAGE,pct_fd_gt_0p2,26,0
warning_free,NeuroIMAGE,mean_dvars,26,0
warning_free,NeuroIMAGE,max_fd,26,0
warning_free,NeuroIMAGE,n_volumes,26,0
warning_free,NeuroIMAGE,total_intracranial_mm3,26,0
warning_free,NeuroIMAGE,participant_sex_male,26,0
warning_free,NeuroIMAGE,label,26,0
warning_free,OHSU,participant_age,26,0
warning_free,OHSU,mean_fd,26,0
warning_free,OHSU,pct_fd_gt_0p2,26,0
warning_free,OHSU,mean_dvars,26,0
warning_free,OHSU,max_fd,26,0
warning_free,OHSU,n_volumes,26,0
warning_free,OHSU,total_intracranial_mm3,26,0
warning_free,OHSU,participant_sex_male,26,0
warning_free,OHSU,label,26,0
warning_free,Peking_1,participant_age,48,0
warning_free,Peking_1,mean_fd,48,0
warning_free,Peking_1,pct_fd_gt_0p2,48,0
warning_free,Peking_1,mean_dvars,48,0
warning_free,Peking_1,max_fd,48,0
warning_free,Peking_1,n_volumes,48,0
warning_free,Peking_1,total_intracranial_mm3,48,0
warning_free,Peking_1,participant_sex_male,48,0
warning_free,Peking_1,label,48,0
warning_free,Peking_2,participant_age,13,0
warning_free,Peking_2,mean_fd,13,0
warning_free,Peking_2,pct_fd_gt_0p2,13,0
warning_free,Peking_2,mean_dvars,13,0
warning_free,Peking_2,max_fd,13,0
warning_free,Peking_2,n_volumes,13,0
warning_free,Peking_2,total_intracranial_mm3,13,0
warning_free,Peking_2,participant_sex_male,13,0
warning_free,Peking_2,label,13,0
warning_free,Peking_3,participant_age,4,0
warning_free,Peking_3,mean_fd,4,0
warning_free,Peking_3,pct_fd_gt_0p2,4,0
warning_free,Peking_3,mean_dvars,4,0
warning_free,Peking_3,max_fd,4,0
warning_free,Peking_3,n_volumes,4,0
warning_free,Peking_3,total_intracranial_mm3,4,0
warning_free,Peking_3,participant_sex_male,4,0
warning_free,Peking_3,label,4,0
include_holds,ALL,participant_age,375,0
include_holds,ALL,mean_fd,375,3
include_holds,ALL,pct_fd_gt_0p2,375,3
include_holds,ALL,mean_dvars,375,3
include_holds,ALL,max_fd,375,3
include_holds,ALL,n_volumes,375,3
include_holds,ALL,total_intracranial_mm3,375,0
include_holds,ALL,participant_sex_male,375,0
include_holds,ALL,label,375,0
include_holds,KKI,participant_age,82,0
include_holds,KKI,mean_fd,82,0
include_holds,KKI,pct_fd_gt_0p2,82,0
include_holds,KKI,mean_dvars,82,0
include_holds,KKI,max_fd,82,0
include_holds,KKI,n_volumes,82,0
include_holds,KKI,total_intracranial_mm3,82,0
include_holds,KKI,participant_sex_male,82,0
include_holds,KKI,label,82,0
include_holds,NYU,participant_age,160,0
include_holds,NYU,mean_fd,160,3
include_holds,NYU,pct_fd_gt_0p2,160,3
include_holds,NYU,mean_dvars,160,3
include_holds,NYU,max_fd,160,3
include_holds,NYU,n_volumes,160,3
include_holds,NYU,total_intracranial_mm3,160,0
include_holds,NYU,participant_sex_male,160,0
include_holds,NYU,label,160,0
include_holds,NeuroIMAGE,participant_age,29,0
include_holds,NeuroIMAGE,mean_fd,29,0
include_holds,NeuroIMAGE,pct_fd_gt_0p2,29,0
include_holds,NeuroIMAGE,mean_dvars,29,0
include_holds,NeuroIMAGE,max_fd,29,0
include_holds,NeuroIMAGE,n_volumes,29,0
include_holds,NeuroIMAGE,total_intracranial_mm3,29,0
include_holds,NeuroIMAGE,participant_sex_male,29,0
include_holds,NeuroIMAGE,label,29,0
include_holds,OHSU,participant_age,34,0
include_holds,OHSU,mean_fd,34,0
include_holds,OHSU,pct_fd_gt_0p2,34,0
include_holds,OHSU,mean_dvars,34,0
include_holds,OHSU,max_fd,34,0
include_holds,OHSU,n_volumes,34,0
include_holds,OHSU,total_intracranial_mm3,34,0
include_holds,OHSU,participant_sex_male,34,0
include_holds,OHSU,label,34,0
include_holds,Peking_1,participant_age,50,0
include_holds,Peking_1,mean_fd,50,0
include_holds,Peking_1,pct_fd_gt_0p2,50,0
include_holds,Peking_1,mean_dvars,50,0
include_holds,Peking_1,max_fd,50,0
include_holds,Peking_1,n_volumes,50,0
include_holds,Peking_1,total_intracranial_mm3,50,0
include_holds,Peking_1,participant_sex_male,50,0
include_holds,Peking_1,label,50,0
include_holds,Peking_2,participant_age,14,0
include_holds,Peking_2,mean_fd,14,0
include_holds,Peking_2,pct_fd_gt_0p2,14,0
include_holds,Peking_2,mean_dvars,14,0
include_holds,Peking_2,max_fd,14,0
include_holds,Peking_2,n_volumes,14,0
include_holds,Peking_2,total_intracranial_mm3,14,0
include_holds,Peking_2,participant_sex_male,14,0
include_holds,Peking_2,label,14,0
include_holds,Peking_3,participant_age,6,0
include_holds,Peking_3,mean_fd,6,0
include_holds,Peking_3,pct_fd_gt_0p2,6,0
include_holds,Peking_3,mean_dvars,6,0
include_holds,Peking_3,max_fd,6,0
include_holds,Peking_3,n_volumes,6,0
include_holds,Peking_3,total_intracranial_mm3,6,0
include_holds,Peking_3,participant_sex_male,6,0
include_holds,Peking_3,label,6,0
