framework,cohort,unit,role,n,label1,label0
cv,warning_free,repeat3_fold3,test,101,38,63
cv,warning_free,repeat2_fold2,train,164,65,99
cv,warning_free,repeat2_fold2,validation,36,13,23
cv,warning_free,repeat2_fold2,test,102,42,60
cv,warning_free,repeat2_fold1,train,163,65,98
cv,warning_free,repeat2_fold1,validation,41,16,25
cv,warning_free,repeat2_fold1,test,98,39,59
cv,warning_free,repeat4_fold2,train,158,65,93
cv,warning_free,repeat4_fold2,validation,42,17,25
cv,warning_free,repeat4_fold2,test,102,38,64
cv,warning_free,repeat4_fold1,train,165,65,100
cv,warning_free,repeat4_fold1,validation,38,14,24
cv,warning_free,repeat4_fold1,test,99,41,58
cv,warning_free,repeat3_fold1,train,154,59,95
cv,warning_free,repeat3_fold1,validation,42,15,27
cv,warning_free,repeat3_fold1,test,106,46,60
cv,warning_free,repeat3_fold2,train,168,71,97
cv,warning_free,repeat3_fold2,validation,39,13,26
cv,warning_free,repeat3_fold2,test,95,36,59
cv,warning_free,repeat1_fold2,train,157,62,95
cv,warning_free,repeat1_fold2,validation,42,17,25
cv,warning_free,repeat1_fold2,test,103,41,62
cv,warning_free,repeat5_fold1,train,158,62,96
cv,warning_free,repeat5_fold1,validation,43,16,27
cv,warning_free,repeat5_fold1,test,101,42,59
cv,warning_free,repeat2_fold3,train,159,62,97
cv,warning_free,repeat2_fold3,validation,41,19,22
cv,warning_free,repeat2_fold3,test,102,39,63
loso,warning_free,site_Peking_1,train,215,89,126
loso,warning_free,site_Peking_1,validation,39,16,23
loso,warning_free,site_Peking_1,test,48,15,33
loso,warning_free,site_Peking_2,train,245,95,150
loso,warning_free,site_Peking_2,validation,44,17,27
loso,warning_free,site_Peking_2,test,13,8,5
loso,warning_free,site_Peking_3,train,253,101,152
loso,warning_free,site_Peking_3,validation,45,17,28
loso,warning_free,site_Peking_3,test,4,2,2
loso,warning_free,site_KKI,train,195,89,106
loso,warning_free,site_KKI,validation,35,16,19
loso,warning_free,site_KKI,test,72,15,57
loso,warning_free,site_OHSU,train,234,94,140
loso,warning_free,site_OHSU,validation,42,17,25
loso,warning_free,site_OHSU,test,26,9,17
loso,warning_free,site_NeuroIMAGE,train,234,93,141
loso,warning_free,site_NeuroIMAGE,validation,42,16,26
loso,warning_free,site_NeuroIMAGE,test,26,11,15
loso,warning_free,site_NYU,train,160,51,109
loso,warning_free,site_NYU,validation,29,9,20
loso,warning_free,site_NYU,test,113,60,53
cv,include_holds,repeat4_fold3,train,200,88,112
cv,include_holds,repeat4_fold3,validation,51,23,28
cv,include_holds,repeat4_fold3,test,124,54,70
cv,include_holds,repeat5_fold2,train,199,88,111
cv,include_holds,repeat5_fold2,validation,51,23,28
cv,include_holds,repeat5_fold2,test,125,54,71
cv,include_holds,repeat1_fold3,train,200,89,111
cv,include_holds,repeat1_fold3,validation,50,22,28
cv,include_holds,repeat1_fold3,test,125,54,71
cv,include_holds,repeat1_fold1,train,200,87,113
cv,include_holds,repeat1_fold1,validation,51,22,29
cv,include_holds,repeat1_fold1,test,124,56,68
cv,include_holds,repeat5_fold3,train,200,88,112
cv,include_holds,repeat5_fold3,validation,51,23,28
cv,include_holds,repeat5_fold3,test,124,54,70
cv,include_holds,repeat3_fold3,train,200,89,111
cv,include_holds,repeat3_fold3,validation,50,22,28
cv,include_holds,repeat3_fold3,test,125,54,71
cv,include_holds,repeat2_fold2,train,200,88,112
cv,include_holds,repeat2_fold2,validation,51,23,28
cv,include_holds,repeat2_fold2,test,124,54,70
cv,include_holds,repeat2_fold1,train,200,88,112
cv,include_holds,repeat2_fold1,validation,50,21,29
cv,include_holds,repeat2_fold1,test,125,56,69
cv,include_holds,repeat4_fold2,train,198,87,111
cv,include_holds,repeat4_fold2,validation,51,23,28
cv,include_holds,repeat4_fold2,test,126,55,71
cv,include_holds,repeat4_fold1,train,199,87,112
cv,include_holds,repeat4_fold1,validation,51,22,29
cv,include_holds,repeat4_fold1,test,125,56,69
cv,include_holds,repeat3_fold1,train,201,88,113
cv,include_holds,repeat3_fold1,validation,50,21,29
cv,include_holds,repeat3_fold1,test,124,56,68
cv,include_holds,repeat3_fold2,train,199,88,111
cv,include_holds,repeat3_fold2,validation,50,22,28
cv,include_holds,repeat3_fold2,test,126,55,71
cv,include_holds,repeat1_fold2,train,198,87,111
cv,include_holds,repeat1_fold2,validation,51,23,28
cv,include_holds,repeat1_fold2,test,126,55,71
cv,include_holds,repeat5_fold1,train,199,87,112
cv,include_holds,repeat5_fold1,validation,50,21,29
cv,include_holds,repeat5_fold1,test,126,57,69
cv,include_holds,repeat2_fold3,train,198,87,111
cv,include_holds,repeat2_fold3,validation,51,23,28
cv,include_holds,repeat2_fold3,test,126,55,71
loso,include_holds,site_Peking_1,train,276,127,149
loso,include_holds,site_Peking_1,validation,49,22,27
loso,include_holds,site_Peking_1,test,50,16,34
loso,include_holds,site_Peking_2,train,306,132,174
loso,include_holds,site_Peking_2,validation,55,24,31
loso,include_holds,site_Peking_2,test,14,9,5
loso,include_holds,site_Peking_3,train,313,137,176
loso,include_holds,site_Peking_3,validation,56,25,31
loso,include_holds,site_Peking_3,test,6,3,3
loso,include_holds,site_KKI,train,249,122,127
loso,include_holds,site_KKI,validation,44,21,23
loso,include_holds,site_KKI,test,82,22,60
loso,include_holds,site_OHSU,train,289,129,160
loso,include_holds,site_OHSU,validation,52,23,29
loso,include_holds,site_OHSU,test,34,13,21
loso,include_holds,site_NeuroIMAGE,train,294,129,165
loso,include_holds,site_NeuroIMAGE,validation,52,22,30
loso,include_holds,site_NeuroIMAGE,test,29,14,15
loso,include_holds,site_NYU,train,182,65,117
loso,include_holds,site_NYU,validation,33,12,21
loso,include_holds,site_NYU,test,160,88,72
