cohort,site,label,variable,n_total,n_observed,n_missing,mean,sd,median,q1,q3,min,max
reviewed,KKI,0,tiv_mm3,60,60,0,1573494.0266666668,123719.90007220156,1562330.4,1493913.625,1661991.25,1298144.5,1835236.9
reviewed,KKI,1,age_years,22,22,0,10.21909090909091,1.560884697522863,10.06,9.0075,11.4975,8.1,12.99
reviewed,KKI,1,mean_fd,22,22,0,0.21497979553547228,0.13774377002888777,0.18186046464634137,0.13887426939101516,0.23044679765389273,0.0664203238292682,0.6088566254634146
reviewed,KKI,1,pct_fd_gt_0p2,22,22,0,0.30954268904519266,0.20078136443448513,0.3130081300813008,0.1585365853658536,0.4314731061217897,0.0,0.8211382113821138
reviewed,KKI,1,mean_dvars,22,22,0,1.1220632969633337,0.05625891089660313,1.1307598252032522,1.0752459370860925,1.1697500548780486,1.000969026490066,1.1966071544715449
reviewed,KKI,1,max_fd,22,22,0,1.2596094030454545,0.8259278095020175,1.0756748315,0.5856565300000001,1.5641148999999999,0.18724595,2.99135395
reviewed,KKI,1,n_volumes,22,22,0,130.36363636363637,12.010096762408876,124.0,124.0,124.0,124.0,152.0
reviewed,KKI,1,tiv_mm3,22,22,0,1519599.8045454547,124623.20492398743,1497062.6,1432249.625,1602341.175,1340274.8,1823193.2
reviewed,NYU,ALL,age_years,162,162,0,11.570864197530863,2.867931146695904,11.3,9.23,13.4025,7.17,17.89
reviewed,NYU,ALL,mean_fd,162,159,3,0.1921632726577892,0.2862694183423581,0.1214304688457142,0.08984735554228565,0.1836340522454285,0.0492389857777142,3.0823442494285715
reviewed,NYU,ALL,pct_fd_gt_0p2,162,159,3,0.19371069182389936,0.1952493864291971,0.1257142857142857,0.04,0.2885714285714286,0.0,0.96
reviewed,NYU,ALL,mean_dvars,162,159,3,1.0724601577717883,0.04904774043526813,1.0707209028571427,1.04069834,1.1011718542857143,0.9624498742857142,1.2587100342857145
reviewed,NYU,ALL,max_fd,162,159,3,1.723021137329874,3.9403161473037622,0.68739865,0.3724659725,1.4853837749999999,0.16149515,41.187792
reviewed,NYU,ALL,n_volumes,162,159,3,176.0,0.0,176.0,176.0,176.0,176.0,176.0
reviewed,NYU,ALL,tiv_mm3,162,162,0,1528916.1456790124,146930.4376323966,1533150.45,1429223.2,1620585.65,1163524.8,1899012.0
reviewed,NYU,0,age_years,73,73,0,12.031232876712329,3.1134889973600175,11.91,9.27,14.42,7.17,17.89
reviewed,NYU,0,mean_fd,73,71,2,0.1824925549076877,0.365497626408728,0.1120882941371428,0.08928505431257135,0.15483386650057135,0.0492389857777142,3.0823442494285715
reviewed,NYU,0,pct_fd_gt_0p2,73,71,2,0.15766599597585507,0.17645046372256395,0.0857142857142857,0.0371428571428571,0.2057142857142857,0.0057142857142857,0.96
reviewed,NYU,0,mean_dvars,73,71,2,1.0697648574647889,0.0468870789919598,1.072665057142857,1.0335553285714285,1.1000289657142857,0.9756101142857144,1.227658068571429
reviewed,NYU,0,max_fd,73,71,2,1.6837355417957747,5.16783714108958,0.5582457599999999,0.30709818,1.03438275,0.20448954,41.187792
reviewed,NYU,0,n_volumes,73,71,2,176.0,0.0,176.0,176.0,176.0,176.0,176.0
reviewed,NYU,0,tiv_mm3,73,73,0,1514183.78630137,164300.01668871756,1510026.5,1401290.2,1594972.5,1163524.8,1899012.0
reviewed,NYU,1,age_years,89,89,0,11.193258426966292,2.6070563229613875,10.81,9.22,12.72,7.25,17.61
reviewed,NYU,1,mean_fd,89,88,1,0.1999657835698029,0.2029929756998745,0.1461618556554285,0.0955176346714285,0.20646189074142846,0.0640659908131428,1.207230011617143
reviewed,NYU,1,pct_fd_gt_0p2,89,88,1,0.2227922077922078,0.20558926016099402,0.17999999999999994,0.049999999999999975,0.3385714285714285,0.0,0.8971428571428571
reviewed,NYU,1,mean_dvars,89,88,1,1.074634775064935,0.05088614318517273,1.0630618028571428,1.0432872957142856,1.1060697814285716,0.9624498742857142,1.2587100342857145
reviewed,NYU,1,max_fd,89,88,1,1.754717470090341,2.5896935277186905,1.02223071,0.42223602499999996,1.9236882875,0.16149515,14.8452686475
reviewed,NYU,1,n_volumes,89,88,1,176.0,0.0,176.0,176.0,176.0,176.0,176.0
reviewed,NYU,1,tiv_mm3,89,89,0,1540999.9910112359,130702.36937394827,1545484.0,1474552.8,1635742.0,1210868.1,1874811.0
reviewed,NeuroIMAGE,ALL,age_years,29,29,0,16.752758620689654,2.95782726308123,17.5,14.59,19.15,11.05,20.89
reviewed,NeuroIMAGE,ALL,mean_fd,29,29,0,0.32024136801589637,0.6892439742489437,0.1325537885374768,0.1029484547076922,0.178454339926923,0.0590261638564846,3.652142740615385
reviewed,NeuroIMAGE,ALL,pct_fd_gt_0p2,29,29,0,0.21750663129973474,0.24795568680570834,0.1346153846153846,0.0923076923076923,0.2153846153846154,0.0,0.9384615384615383
reviewed,NeuroIMAGE,ALL,mean_dvars,29,29,0,1.0959737701591512,0.06466098312853842,1.0850750884615383,1.0660589653846153,1.1246224423076925,0.9761996346153848,1.2925188769230769
reviewed,NeuroIMAGE,ALL,max_fd,29,29,0,2.6720141834827587,4.865823498789157,1.04323993,0.6249142999999999,1.56765395,0.166582326,24.4054605
reviewed,NeuroIMAGE,ALL,n_volumes,29,29,0,261.0,0.0,261.0,261.0,261.0,261.0,261.0
reviewed,NeuroIMAGE,ALL,tiv_mm3,29,29,0,1582493.5793103445,118648.79628799556,1578143.1,1513519.1,1642151.9,1307689.8,1826727.9
reviewed,NeuroIMAGE,0,age_years,15,15,0,16.841333333333335,2.696245714392691,17.46,15.0,19.16,11.66,20.47
reviewed,NeuroIMAGE,0,mean_fd,15,15,0,0.13093398432814043,0.04885384310207069,0.1287705642730769,0.10174091395809605,0.14738345445327683,0.071998365431423,0.2589613515046154
reviewed,NeuroIMAGE,0,pct_fd_gt_0p2,15,15,0,0.1505128205128205,0.11423295837864837,0.123076923076923,0.08846153846153845,0.2019230769230769,0.0,0.3846153846153846
reviewed,NeuroIMAGE,0,mean_dvars,15,15,0,1.0945092987179488,0.06052921185064059,1.090079996153846,1.0707345865384617,1.1243576423076924,0.9761996346153848,1.2460868423076925
reviewed,NeuroIMAGE,0,max_fd,15,15,0,1.0176741506666667,0.7942394899209414,0.78744085,0.5951041299999997,1.1192890649999998,0.179127805,3.227446
reviewed,NeuroIMAGE,0,n_volumes,15,15,0,261.0,0.0,261.0,261.0,261.0,261.0,261.0
reviewed,NeuroIMAGE,0,tiv_mm3,15,15,0,1568325.9266666668,105887.42075764418,1554813.8,1509287.5,1621794.95,1357090.5,1819855.9
reviewed,NeuroIMAGE,1,age_years,14,14,0,16.657857142857143,3.3159826912683377,17.64,14.1225,18.912499999999998,11.05,20.89
reviewed,NeuroIMAGE,1,mean_fd,14,14,0,0.5230707076813491,0.9669410028970956,0.1520247418102884,0.10817104112019225,0.21755518218557682,0.0590261638564846,3.652142740615385
reviewed,NeuroIMAGE,1,pct_fd_gt_0p2,14,14,0,0.28928571428571426,0.3280893869294201,0.18076923076923074,0.09519230769230767,0.2490384615384615,0.0,0.9384615384615383
reviewed,NeuroIMAGE,1,mean_dvars,14,14,0,1.0975428467032968,0.07109558122625569,1.083503996153846,1.0588669240384616,1.117319264423077,1.0113673807692307,1.2925188769230769
reviewed,NeuroIMAGE,1,max_fd,14,14,0,4.4445213615,6.616213685665522,1.355119295,0.9513146349999999,5.513876724999999,0.166582326,24.4054605
reviewed,NeuroIMAGE,1,n_volumes,14,14,0,261.0,0.0,261.0,261.0,261.0,261.0,261.0
reviewed,NeuroIMAGE,1,tiv_mm3,14,14,0,1597673.2071428574,133290.96533330303,1598005.1,1526005.2750000001,1683053.225,1307689.8,1826727.9
reviewed,OHSU,ALL,age_years,35,35,0,8.752,1.173027255086799,8.5,8.04,9.17,7.33,12.5
reviewed,OHSU,ALL,mean_fd,35,35,0,0.4048175646771859,0.6492292991566324,0.1662087472207792,0.102894585065516,0.250769578461039,0.0445466502206753,3.0412489909090907
reviewed,OHSU,ALL,pct_fd_gt_0p2,35,35,0,0.30406698564593293,0.3133426865242299,0.2337662337662337,0.05228981544771015,0.474025974025974,0.0,0.987012987012987
reviewed,OHSU,ALL,mean_dvars,35,35,0,1.278774973855092,0.09383163884855367,1.2778430779220775,1.2069116428571425,1.3290920129870132,1.083736948051948,1.5313413815789472
reviewed,OHSU,ALL,max_fd,35,35,0,3.0842571320021714,5.587665920914582,0.5707942,0.287720505,2.45003026,0.083989724076,27.15052
reviewed,OHSU,ALL,n_volumes,35,35,0,77.77142857142857,0.42604296149803583,78.0,78.0,78.0,77.0,78.0
reviewed,OHSU,ALL,tiv_mm3,35,35,0,1524702.3085714288,135902.51719687638,1524841.4,1437487.0,1647226.0,1274818.0,1789939.5
reviewed,OHSU,0,age_years,21,21,0,8.777142857142858,1.155565415098353,8.5,8.08,9.17,7.33,12.5
reviewed,OHSU,0,mean_fd,21,21,0,0.2586357095513094,0.3018408164049894,0.1154775503810526,0.1028662982894736,0.2178916703116883,0.0593839899114285,1.2531101338441557
reviewed,OHSU,0,pct_fd_gt_0p2,21,21,0,0.2466474628128763,0.26214912085443615,0.1052631578947368,0.0519480519480519,0.3896103896103896,0.0,0.8701298701298701
reviewed,OHSU,0,mean_dvars,21,21,0,1.2912546653565735,0.09929473455378081,1.2812505714285716,1.2155392597402594,1.3390143116883118,1.1610191298701298,1.5313413815789472
reviewed,OHSU,0,max_fd,21,21,0,2.310233065666666,4.063575735950603,0.53949768,0.271616,2.3584790200000003,0.14499373,15.637889
reviewed,OHSU,0,n_volumes,21,21,0,77.66666666666667,0.48304589153964794,78.0,77.0,78.0,77.0,78.0
reviewed,OHSU,0,tiv_mm3,21,21,0,1531798.9666666668,129464.55169113795,1523830.1,1449710.6,1647281.5,1302590.0,1789939.5
reviewed,OHSU,1,age_years,14,14,0,8.714285714285714,1.2417092084066053,8.46,7.9399999999999995,9.0225,7.42,11.33
reviewed,OHSU,1,mean_fd,14,14,0,0.6240903473660007,0.9359042552014011,0.18245915308055186,0.10999175298311682,0.4355053425068353,0.0445466502206753,3.0412489909090907
reviewed,OHSU,1,pct_fd_gt_0p2,14,14,0,0.390196269895518,0.3711425101908275,0.2597402597402597,0.09415584415584415,0.6197881066302119,0.0,0.987012987012987
reviewed,OHSU,1,mean_dvars,14,14,0,1.2600554366028707,0.08502643087504333,1.277267675324675,1.2044164512987012,1.3045864902597402,1.083736948051948,1.4206781948051947
reviewed,OHSU,1,max_fd,14,14,0,4.2452932315054275,7.337165423900659,1.0695546725,0.4234323625,4.925676525,0.083989724076,27.15052
reviewed,OHSU,1,n_volumes,14,14,0,77.92857142857143,0.2672612419124244,78.0,78.0,78.0,77.0,78.0
reviewed,OHSU,1,tiv_mm3,14,14,0,1514057.3214285711,149382.66943223972,1545074.6,1383544.625,1640536.5,1274818.0,1724900.9
reviewed,Peking_1,ALL,age_years,50,50,0,10.9368,1.7556200602403604,10.42,9.69,11.98,8.33,15.17
reviewed,Peking_1,ALL,mean_fd,50,50,0,0.1270460991615012,0.04839362434086051,0.1217210323947659,0.09743410829056555,0.1471875131564765,0.0549351778546382,0.2781260499786325
reviewed,Peking_1,ALL,pct_fd_gt_0p2,50,50,0,0.13737770503727945,0.13944980535594456,0.09168030551009271,0.043617021276595724,0.1739634478996181,0.0,0.6410256410256411
reviewed,Peking_1,ALL,mean_dvars,50,50,0,1.1948486905524642,0.08001136890493595,1.1996520808510636,1.127858875,1.2640396255319146,1.0027718638297871,1.3737192863247862
reviewed,Peking_1,ALL,max_fd,50,50,0,0.7380323357908,0.667138398735058,0.5089424375,0.323205806,0.8323985124999999,0.15794653604,3.25857025
reviewed,Peking_1,ALL,n_volumes,50,50,0,235.7,0.4629100498862757,236.0,235.0,236.0,235.0,236.0
reviewed,Peking_1,ALL,tiv_mm3,50,50,0,1484869.674,123414.99841250536,1471975.05,1376564.45,1571162.5999999999,1216454.8,1703719.0
reviewed,Peking_1,0,age_years,34,34,0,11.02,1.8745504511587288,10.42,9.75,11.98,8.33,15.17
reviewed,Peking_1,0,mean_fd,34,34,0,0.11186656237063423,0.04000774520874958,0.10641727307914886,0.08514562946914883,0.130407183479851,0.0549351778546382,0.2186950370548935
reviewed,Peking_1,0,pct_fd_gt_0p2,34,34,0,0.09621214552378504,0.10707249572895906,0.0682305873795235,0.018085106382978652,0.1446808510638297,0.0,0.4425531914893617
reviewed,Peking_1,0,mean_dvars,34,34,0,1.2079009653059916,0.07541987844565028,1.2081701170212766,1.1416156893617022,1.2662431223404256,1.0638062510638298,1.3737192863247862
reviewed,Peking_1,0,max_fd,34,34,0,0.5726218406188235,0.436133817261397,0.438951455,0.28010633875,0.72594485,0.15794653604,1.8891858
reviewed,Peking_1,0,n_volumes,34,34,0,235.7941176470588,0.41042563012190475,236.0,236.0,236.0,235.0,236.0
reviewed,Peking_1,0,tiv_mm3,34,34,0,1478882.2411764704,119159.67011504155,1471975.05,1379445.5,1556071.9749999999,1216454.8,1703719.0
reviewed,Peking_1,1,age_years,16,16,0,10.76,1.5128868651246419,10.455,9.56,11.375,8.83,14.0
reviewed,Peking_1,1,mean_fd,16,16,0,0.15930261484209346,0.049968525632791576,0.14458931735663755,0.12073362416601235,0.1910516806899572,0.0983391253021276,0.2781260499786325
reviewed,Peking_1,1,pct_fd_gt_0p2,16,16,0,0.22485451900345516,0.16216975152274507,0.17021276595744675,0.09903164211674842,0.3148117839607201,0.0425531914893617,0.6410256410256411
reviewed,Peking_1,1,mean_dvars,16,16,0,1.1671126067012185,0.08480525654321568,1.1349979083924349,1.1137706554964537,1.22663084870431,1.0027718638297871,1.324519510638298
reviewed,Peking_1,1,max_fd,16,16,0,1.08952963803125,0.9174065639277142,0.7953494,0.5026372875,1.0671670500000001,0.3674497,3.25857025
reviewed,Peking_1,1,n_volumes,16,16,0,235.5,0.5163977794943222,235.5,235.0,236.0,235.0,236.0
reviewed,Peking_1,1,tiv_mm3,16,16,0,1497592.96875,135143.12062667846,1484376.35,1376472.45,1622733.35,1297907.0,1688403.2
reviewed,Peking_2,ALL,age_years,14,14,0,11.749999999999998,1.7962353794705022,11.29,10.23,13.29,9.67,15.08
reviewed,Peking_2,ALL,mean_fd,14,14,0,0.13785313384914397,0.04772409919198085,0.1312480633959574,0.10000029706765948,0.16494222563276162,0.0656372395361701,0.2343733372723404
reviewed,Peking_2,ALL,pct_fd_gt_0p2,14,14,0,0.1650455927051671,0.13324579213799198,0.12340425531914889,0.07021276595744677,0.23510638297872336,0.0085106382978723,0.4297872340425532
reviewed,Peking_2,ALL,mean_dvars,14,14,0,1.1401252455927051,0.0673455459849187,1.1720664765957447,1.0832313382978724,1.1955112712765958,1.027149485106383,1.2134762510638295
reviewed,Peking_2,ALL,max_fd,14,14,0,0.8355264832857143,0.5833871107618721,0.625991445,0.40323719500000005,1.2470740625,0.26079274,2.097933236
reviewed,Peking_2,ALL,n_volumes,14,14,0,236.0,0.0,236.0,236.0,236.0,236.0,236.0
reviewed,Peking_2,ALL,tiv_mm3,14,14,0,1581923.5214285715,96358.88723659128,1565371.05,1515193.55,1654522.05,1437208.8,1787177.9
reviewed,Peking_2,0,age_years,5,5,0,11.565999999999999,1.6224919106115752,11.25,11.17,11.33,9.83,14.25
reviewed,Peking_2,0,mean_fd,5,5,0,0.13454615554846966,0.04140960905843756,0.1166545296851063,0.1067523905829786,0.1509567297659574,0.0988417082440508,0.1995254194642552
reviewed,Peking_2,0,pct_fd_gt_0p2,5,5,0,0.12765957446808504,0.09171175345639278,0.076595744680851,0.0680851063829787,0.1872340425531914,0.0468085106382978,0.2595744680851063
reviewed,Peking_2,0,mean_dvars,5,5,0,1.1514081668085105,0.07940656610449688,1.1959757574468086,1.1167030723404257,1.2037362680851065,1.027149485106383,1.2134762510638295
reviewed,Peking_2,0,max_fd,5,5,0,0.8705463160000001,0.5416732921092161,0.77440265,0.43487077,1.39206405,0.28301281,1.4683813
reviewed,Peking_2,0,n_volumes,5,5,0,236.0,0.0,236.0,236.0,236.0,236.0,236.0
reviewed,Peking_2,0,tiv_mm3,5,5,0,1535778.7999999998,82985.01614475349,1564726.8,1468297.1,1565346.5,1437208.8,1643314.8
reviewed,Peking_2,1,age_years,9,9,0,11.852222222222222,1.9732826570069593,11.33,10.0,13.33,9.67,15.08
reviewed,Peking_2,1,mean_fd,9,9,0,0.1396903440161853,0.05322661913958235,0.1458415971068085,0.0991535399148935,0.1685584860763063,0.0656372395361701,0.2343733372723404
reviewed,Peking_2,1,pct_fd_gt_0p2,9,9,0,0.1858156028368794,0.15259932831524348,0.1531914893617021,0.0808510638297872,0.2468085106382978,0.0085106382978723,0.4297872340425532
reviewed,Peking_2,1,mean_dvars,9,9,0,1.133856956028369,0.06398118642195276,1.16124054893617,1.0824931829787234,1.1838334382978726,1.0312989319148935,1.2043150425531917
reviewed,Peking_2,1,max_fd,9,9,0,0.8160710206666667,0.6365186930536865,0.54664599,0.3926926700000001,0.8121041000000001,0.26079274,2.097933236
reviewed,Peking_2,1,n_volumes,9,9,0,236.0,0.0,236.0,236.0,236.0,236.0,236.0
reviewed,Peking_2,1,tiv_mm3,9,9,0,1607559.477777778,97850.5930136192,1580510.0,1527279.2,1658530.8,1489127.5,1787177.9
reviewed,Peking_3,ALL,age_years,6,6,0,12.833333333333334,1.0783258629313621,12.96,12.665,13.1275,11.0,14.33
reviewed,Peking_3,ALL,mean_fd,6,6,0,0.12966867194502654,0.045309497418139465,0.13147407369319145,0.10160793422531905,0.16251965699223397,0.065343597740798,0.1851995473817021
reviewed,Peking_3,ALL,pct_fd_gt_0p2,6,6,0,0.1531914893617021,0.13667459777433705,0.11276595744680845,0.05744680851063828,0.2638297872340425,0.0085106382978723,0.3319148936170212
reviewed,Peking_3,ALL,mean_dvars,6,6,0,1.2132647886524823,0.10150017440169065,1.1956289489361702,1.14791750106383,1.258536635106383,1.0983025361702128,1.3785087489361705
reviewed,Peking_3,ALL,max_fd,6,6,0,0.8269291918333334,0.43119710194490596,0.9637397,0.50445661625,1.183795025,0.215389496,1.2101972
reviewed,Peking_3,ALL,n_volumes,6,6,0,236.0,0.0,236.0,236.0,236.0,236.0,236.0
reviewed,Peking_3,ALL,tiv_mm3,6,6,0,1632033.1500000001,92538.65521762785,1624643.7999999998,1590513.95,1663980.9,1505328.2,1781352.5
reviewed,Peking_3,0,age_years,3,3,0,12.89,0.2961418578992169,12.92,12.75,13.045,12.58,13.17
reviewed,Peking_3,0,mean_fd,3,3,0,0.094557268256578,0.029469674006655157,0.0940517649361701,0.07969768133848404,0.10916410351446801,0.065343597740798,0.1242764420927659
reviewed,Peking_3,0,pct_fd_gt_0p2,3,3,0,0.051063829787234,0.047385228619829946,0.0425531914893617,0.025531914893617003,0.07234042553191485,0.0085106382978723,0.102127659574468
reviewed,Peking_3,0,mean_dvars,3,3,0,1.2633427659574468,0.12254105724169503,1.2769560382978722,1.2057597744680852,1.3277323936170213,1.134563510638298,1.3785087489361705
reviewed,Peking_3,0,max_fd,3,3,0,0.6099032503333334,0.5283651280866354,0.404123055,0.3097562755,0.8071601275,0.215389496,1.2101972
reviewed,Peking_3,0,n_volumes,3,3,0,236.0,0.0,236.0,236.0,236.0,236.0,236.0
reviewed,Peking_3,0,tiv_mm3,3,3,0,1679194.3666666665,98550.96377440114,1671532.8,1628115.3,1726442.65,1584697.8,1781352.5
reviewed,Peking_3,1,age_years,3,3,0,12.776666666666666,1.6761960903585633,13.0,12.0,13.665,11.0,14.33
reviewed,Peking_3,1,mean_fd,3,3,0,0.1647800756334751,0.023779880103416064,0.1704689742251063,0.15457033975936163,0.1778342608034042,0.138671705293617,0.1851995473817021
reviewed,Peking_3,1,pct_fd_gt_0p2,3,3,0,0.25531914893617014,0.11473590436351286,0.3106382978723404,0.21702127659574463,0.3212765957446808,0.1234042553191489,0.3319148936170212
reviewed,Peking_3,1,mean_dvars,3,3,0,1.1631868113475177,0.05670971139189495,1.1879794723404256,1.1431410042553192,1.1956289489361702,1.0983025361702128,1.2032784255319149
reviewed,Peking_3,1,max_fd,3,3,0,1.0439551333333332,0.2106106962723482,1.1220221,0.9637397,1.16320405,0.8054573,1.204386
reviewed,Peking_3,1,n_volumes,3,3,0,236.0,0.0,236.0,236.0,236.0,236.0,236.0
reviewed,Peking_3,1,tiv_mm3,3,3,0,1584871.9333333333,70877.87553541183,1607962.4,1556645.2999999998,1624643.7999999998,1505328.2,1641325.2
primary,ALL,ALL,age_years,350,350,0,11.337542857142859,2.873332423746983,10.81,9.17,12.785,7.17,20.89
primary,ALL,ALL,mean_fd,350,347,3,0.19544533671547093,0.3078559650248408,0.1287705642730769,0.0956092417817142,0.1875888099489181,0.0445466502206753,3.652142740615385
primary,ALL,ALL,pct_fd_gt_0p2,350,347,3,0.1976512810933855,0.19925715011219713,0.1371428571428571,0.05228981544771015,0.2857142857142857,0.0,0.987012987012987
primary,ALL,ALL,mean_dvars,350,347,3,1.1272429737710723,0.09215674456305699,1.11097125203252,1.0630618028571428,1.176821206996149,0.939675512195122,1.5313413815789472
primary,ALL,ALL,max_fd,350,347,3,1.5274413381226686,2.798989549223877,0.6986366,0.3935759915,1.5329966949999998,0.083989724076,27.15052
primary,ALL,ALL,n_volumes,350,347,3,175.7435158501441,51.50156215461894,176.0,152.0,235.0,77.0,261.0
primary,ALL,ALL,tiv_mm3,350,350,0,1537484.736,134358.2262843661,1538252.5,1454025.55,1635213.125,1216454.8,1899012.0
primary,ALL,0,age_years,197,197,0,11.355888324873098,2.854736638147085,10.82,9.25,12.77,7.17,20.47
primary,ALL,0,mean_fd,197,195,2,0.15172725979928853,0.12758367906266982,0.1154452871927659,0.09030938163657135,0.164014432154725,0.0536030361119999,1.2531101338441557
primary,ALL,0,pct_fd_gt_0p2,197,195,2,0.16272421815570615,0.1690194233864716,0.1,0.046261398176291754,0.21167455061494794,0.0,0.8701298701298701
primary,ALL,0,mean_dvars,197,195,2,1.1365063697328752,0.09754665437674652,1.1167030723404257,1.0727976136778115,1.1966118650895858,0.939675512195122,1.5313413815789472
primary,ALL,0,max_fd,197,195,2,1.1536072315258463,1.7966055110876036,0.60681205,0.329215425,1.297801625,0.14499373,15.637889
primary,ALL,0,n_volumes,197,195,2,172.9897435897436,53.16381896403918,176.0,124.0,236.0,77.0,261.0
primary,ALL,0,tiv_mm3,197,197,0,1533669.8700507614,138442.50240054337,1533016.5,1447000.8,1632814.8,1216454.8,1899012.0
primary,ALL,1,age_years,153,153,0,11.313921568627451,2.9063223358952874,10.78,9.17,12.79,7.25,20.89
